Account,ATMID,caldate,Actual,Forecast
2,18,2023-02-19,616000,617511.1
2,18,2023-02-20,667500,666938.44
2,18,2023-02-21,609000,614093.25
2,18,2023-02-22,452500,452070.6
2,19,2023-02-15,432000,430943.6
2,19,2023-02-16,643300,644233.0
2,19,2023-02-17,236100,236530.66
2,19,2023-02-18,387700,388296.44
2,19,2023-02-19,422600,421686.84
2,19,2023-02-20,250500,250198.14
2,19,2023-02-21,428900,426918.47
2,19,2023-02-22,302500,301595.03
